id,name,created_at,updated_at,amount
04524061-8bff-455f-9839-8438a2efcc52,Champion,2025-02-25 05:55:11.117035+00,2025-02-25 05:55:11.117035+00,5000
08fa868a-1abd-40a5-b85c-e9c3484fe2a1,Bloody Mary,2025-02-25 05:55:11.117035+00,2025-02-25 05:55:11.117035+00,1000
14546b2b-9767-47ee-83db-bafd140f80c3,Bojangles PM,2025-02-25 05:55:11.117035+00,2025-02-25 05:55:11.117035+00,500
265eecd1-8a86-40d7-8a5a-1a178c0d1651,Thursday Night,2025-02-25 05:55:11.117035+00,2025-02-25 05:55:11.117035+00,700
33062568-c541-4827-a840-2c88a0718f5f,Chick-Fil-A AM,2025-02-25 05:55:11.117035+00,2025-02-25 05:55:11.117035+00,500
38253292-022e-4a0d-aa0e-6f54f8e9dd3f,Golf Cart,2025-02-25 05:55:11.117035+00,2025-02-25 05:55:11.117035+00,1000
4412290e-3cd6-4ac5-a0c5-c263d0b8be4f,Golf Gift,2025-02-25 05:55:11.117035+00,2025-02-25 05:55:11.117035+00,2500
6d19869d-5743-469a-b550-9e0f1ff6a432,Eagle,2025-02-25 05:55:11.117035+00,2025-02-25 05:55:11.117035+00,2500
6ea9a3dd-2b83-47b5-822b-5be3cc9d0728,Celebration Lunch,2025-02-25 05:55:11.117035+00,2025-02-25 05:55:11.117035+00,2500
cfb2033e-7c6e-4e85-a8f1-b6828fc8ce7f,Celebration Wall,2025-02-25 05:55:11.117035+00,2025-02-25 05:55:11.117035+00,700
